% Model:              Yoke ima Lab _ Vitor -V5.mph
% Version:            COMSOL 5.3.0.260
% Date:               Feb 4 2020, 17:30
% Dimension:          2
% Nodes:              451
% Expressions:        1
% Description:        Magnetic flux density norm
% Length unit:        m
% R                       Z                        mf2.normB (T)
24                        -7                       0.5423037923301387
25                        -7                       0.5548583590454849
26                        -7                       0.5674428145946931
27                        -7                       0.561126974637637
28                        -7                       0.5386493402052517
29                        -7                       0.5187251838349534
30                        -7                       0.5009520681171671
31                        -7                       0.48007869768844247
32                        -7                       0.45923330332623935
33                        -7                       0.43805076422155176
34                        -7                       0.42042297642362575
35                        -7                       0.40281577957577724
36                        -7                       0.3852295441292897
37                        -7                       0.366032684434484
38                        -7                       0.34990697250668906
39                        -7                       0.3337729042572296
40                        -7                       0.3179356424238358
0                         -8                       0.043415354527150556
1                         -8                       0.028830984210269573
2                         -8                       0.02783311126417657
3                         -8                       0.027322830798423115
4                         -8                       0.028866658066351667
5                         -8                       0.03083658634618852
6                         -8                       0.03301595148711912
7                         -8                       0.035314507179834094
8                         -8                       0.03768782454242566
9                         -8                       0.029339141064053973
10                        -8                       0.03860647008590118
11                        -8                       0.019462357187486623
12                        -8                       0.058944916350025786
13                        -8                       0.08431454449134966
14                        -8                       0.10215818773382683
15                        -8                       0.12894588563112105
16                        -8                       0.16027421343283438
17                        -8                       0.1939725125847831
18                        -8                       0.2388397514746695
19                        -8                       0.3056136388385013
20                        -8                       0.3942939900487501
21                        -8                       0.4244900241942942
22                        -8                       0.4686304374808934
23                        -8                       0.4919460067406973
24                        -8                       0.5046862398986302
25                        -8                       0.5174423902339554
26                        -8                       0.5302125429014274
27                        -8                       0.5429950807726205
28                        -8                       0.531217837131607
29                        -8                       0.51133366646147
30                        -8                       0.4936679655205703
31                        -8                       0.4727563218119002
32                        -8                       0.45488429421684123
33                        -8                       0.43718997095226775
34                        -8                       0.4195049113115229
35                        -8                       0.4018290687294134
36                        -8                       0.3841626152412589
37                        -8                       0.36650595081708276
38                        -8                       0.35011667647738975
39                        -8                       0.33399328684272644
40                        -8                       0.3181087678613838
0                         -9                       0.027139120735362232
1                         -9                       0.015818115905627875
2                         -9                       0.014912378074768948
3                         -9                       0.016983188394912085
4                         -9                       0.019326397171576647
5                         -9                       0.02177588651513409
6                         -9                       0.024278363920396773
7                         -9                       0.02681130929343969
8                         -9                       0.029363486484165667
9                         -9                       0.03192862833475803
10                        -9                       0.03298085002727141
11                        -9                       0.001034123466241088
12                        -9                       0.04016799623682364
13                        -9                       0.057300459125049594
14                        -9                       0.08871289743560287
15                        -9                       0.12399639245634884
16                        -9                       0.16062564572948182
17                        -9                       0.19785922253083152
18                        -9                       0.2354141033558532
19                        -9                       0.2803144211422974
20                        -9                       0.3594553715105946
21                        -9                       0.4041617788864283
22                        -9                       0.4431865731423036
23                        -9                       0.4560628779819365
24                        -9                       0.4689440912165189
25                        -9                       0.48182960320113366
26                        -9                       0.49471890214389547
27                        -9                       0.5076115551431462
28                        -9                       0.5205071934780138
29                        -9                       0.50394452903463
30                        -9                       0.48642497219664427
31                        -9                       0.4718200049600123
32                        -9                       0.45409600054826316
33                        -9                       0.4363744124145784
34                        -9                       0.4186551715403885
35                        -9                       0.40093826453377623
36                        -9                       0.38322373337683274
37                        -9                       0.36551167786162514
38                        -9                       0.34780226103573336
39                        -9                       0.3343810930415213
40                        -9                       0.3183677799245712
0                         -10                      0.0012890530631407054
1                         -10                      0.0037942658037033736
2                         -10                      0.006385115711219554
3                         -10                      0.00898912102874143
4                         -10                      0.011597289875981397
5                         -10                      0.014207307716673048
6                         -10                      0.016818307644615525
7                         -10                      0.01942989148478556
8                         -10                      0.022041850692612528
9                         -10                      0.024654065470454248
10                        -10                      0.05223343297188687
11                        -10                      0.013926228378337145
12                        -10                      0.024438630789528678
13                        -10                      0.06275549651201116
14                        -10                      0.10107896449238508
15                        -10                      0.13940359034660157
16                        -10                      0.1777286253921533
17                        -10                      0.2160538520976624
18                        -10                      0.2543791839843701
19                        -10                      0.2927045798391956
20                        -10                      0.38349374066894765
